"autor","l0","l1","l2","gender"
"Aakanksha Chowdhery","Asian","IndianSubContinent","\N","F"
"Aakanksha Gagrani","Asian","IndianSubContinent","\N","F"
"Aanchal Malhotra","Asian","IndianSubContinent","\N","F"
"Aarati Parmar","Asian","IndianSubContinent","\N","F"
"Aarthi Natarajan","Asian","IndianSubContinent","\N","F"
"Aarthi Sundaram","Asian","IndianSubContinent","\N","F"
"Aarti Gupta","Asian","IndianSubContinent","\N","F"
"Aarti Malhotra","Asian","IndianSubContinent","\N","F"
"Aarti Singh","Asian","IndianSubContinent","\N","F"
"Aastha Jain","Asian","IndianSubContinent","\N","F"
"Aastha Madaan","GreaterAfrican","Muslim","\N","F"
"Abby C. King","Asian","IndianSubContinent","\N","F"
"Abby Lal","GreaterAfrican","Muslim","\N","F"
"Abby Miller","GreaterEuropean","Jewish","\N","F"
"Abdulkareem Alali","GreaterAfrican","Muslim","\N","F"
"Abeer Agrawal","Asian","IndianSubContinent","\N","F"
"Abeer Javed","GreaterAfrican","Muslim","\N","F"
"Abena Primo","GreaterEuropean","Jewish","\N","F"
"Aber Whitcomb","GreaterEuropean","British","\N","F"
"Abha Ahuja","Asian","IndianSubContinent","\N","F"
"Abha Moitra","Asian","IndianSubContinent","\N","F"
"Abhilasha Ravichander","Asian","IndianSubContinent","\N","F"
"Abhinanda Sarkar","Asian","IndianSubContinent","\N","F"
"Abigail C. Durrant","GreaterEuropean","British","\N","F"
"Abigail Cauchi","GreaterEuropean","WestEuropean","French","F"
"Abigail Durrant","GreaterEuropean","British","\N","F"
"Abigail Evans","GreaterEuropean","British","\N","F"
"Abigail Reyes","GreaterEuropean","WestEuropean","Hispanic","F"
"Abigail Sellen","GreaterEuropean","British","\N","F"
"Abigail Travis","GreaterEuropean","British","\N","F"
"Abigale Stangl","GreaterEuropean","Jewish","\N","F"
"Abir Al Hajri","GreaterAfrican","Muslim","\N","F"
"Abir Das","Asian","IndianSubContinent","\N","F"
"Abir De","Asian","IndianSubContinent","\N","F"
"Abir Qasem","GreaterAfrican","Muslim","\N","F"
"Abril I. Rodríguez López","GreaterEuropean","WestEuropean","Hispanic","F"
"Acey Kreisler Boyce","GreaterEuropean","British","\N","F"
"Achla Marathe","Asian","IndianSubContinent","\N","F"
"Ada Diaconescu","GreaterEuropean","WestEuropean","Italian","F"
"Ada Gavrilovska","GreaterEuropean","EastEuropean","\N","F"
"Ada Wai-Chee Fu","Asian","GreaterEastAsian","EastAsian","F"
"Adebola Osuntogun","GreaterAfrican","Africans","\N","F"
"Adele A. Rescigno","GreaterEuropean","WestEuropean","Italian","F"
"Adele E. Howe","GreaterEuropean","British","\N","F"
"Adele Laing","GreaterEuropean","British","\N","F"
"Adele P. Peskin","GreaterEuropean","Jewish","\N","F"
"Adeline Langlois","GreaterEuropean","WestEuropean","French","F"
"Adeline M. M. Samson","GreaterEuropean","Jewish","\N","F"
"Adeline Pierrot","GreaterEuropean","WestEuropean","French","F"
"Adelka Niels","GreaterEuropean","WestEuropean","Nordic","F"
"Adenike M. Lam-Adesina","GreaterAfrican","Muslim","\N","F"
"Adesola Omotayo","GreaterAfrican","Africans","\N","F"
"Adiba Ishak","GreaterAfrican","Muslim","\N","F"
"Adila Krisnadhi","Asian","IndianSubContinent","\N","F"
"Adina Crainiceanu","GreaterEuropean","WestEuropean","Hispanic","F"
"Adinda Freudenthal","GreaterEuropean","Jewish","\N","F"
"Adithi Sampath","Asian","IndianSubContinent","\N","F"
"Aditi Adhikari","Asian","IndianSubContinent","\N","F"
"Aditi Dudeja","GreaterAfrican","Africans","\N","F"
"Aditi Goel","Asian","IndianSubContinent","\N","F"
"Aditi Gupta 0003","Asian","IndianSubContinent","\N","F"
"Aditi Jaitly","Asian","IndianSubContinent","\N","F"
"Aditi Kumar","Asian","IndianSubContinent","\N","F"
"Aditi Majumder","Asian","IndianSubContinent","\N","F"
"Aditi Mithal","Asian","IndianSubContinent","\N","F"
"Aditi Nath","Asian","IndianSubContinent","\N","F"
"Aditi Pandit","Asian","IndianSubContinent","\N","F"
"Aditi Raghunathan","Asian","IndianSubContinent","\N","F"
"Aditi S. Muralidharan","Asian","IndianSubContinent","\N","F"
"Aditi Sharma Grover","GreaterEuropean","British","\N","F"
"Adriana B. Compagnoni","GreaterEuropean","WestEuropean","Italian","F"
"Adriana B. Flores","GreaterEuropean","WestEuropean","Hispanic","F"
"Adriana Budura","GreaterAfrican","Africans","\N","F"
"Adriana Iamnitchi","GreaterEuropean","EastEuropean","\N","F"
"Adriana Ispas","GreaterEuropean","WestEuropean","Hispanic","F"
"Adriana Jurca","GreaterEuropean","WestEuropean","Hispanic","F"
"Adriana Karagiozova","GreaterAfrican","Muslim","\N","F"
"Adriana Kovashka","Asian","IndianSubContinent","\N","F"
"Adriana Lopez","GreaterEuropean","WestEuropean","Hispanic","F"
"Adriana López-Alt","GreaterEuropean","WestEuropean","French","F"
"Adriana M. J. B. de Carvalho","GreaterEuropean","British","\N","F"
"Adriana Marotta","GreaterEuropean","WestEuropean","Italian","F"
"Adriana Olmos","GreaterEuropean","WestEuropean","Hispanic","F"
"Adriana Palacio","GreaterEuropean","WestEuropean","Hispanic","F"
"Adriana Pereira de Medeiros","GreaterEuropean","WestEuropean","Hispanic","F"
"Adriana Prado","GreaterEuropean","WestEuropean","Hispanic","F"
"Adriana Romero","GreaterEuropean","WestEuropean","Hispanic","F"
"Adriana Roventini","GreaterEuropean","WestEuropean","Italian","F"
"Adriana Santarosa Vivacqua","Asian","IndianSubContinent","\N","F"
"Adriana Susnea","GreaterEuropean","WestEuropean","French","F"
"Adriana Szekeres","GreaterEuropean","Jewish","\N","F"
"Adriana Tapus","GreaterEuropean","WestEuropean","Italian","F"
"Adriana Thompson","GreaterEuropean","British","\N","F"
"Adriana Zapico","GreaterEuropean","WestEuropean","Hispanic","F"
"Adriane Beatriz de Souza Serapião","GreaterEuropean","WestEuropean","Hispanic","F"
"Adriane Chapman","GreaterEuropean","British","\N","F"
"Adrienne H. Slaughter","GreaterEuropean","British","\N","F"
"Adrienne Porter Felt","GreaterEuropean","British","\N","F"
"Adrienne Tran","GreaterEuropean","British","\N","F"
"Adrienne Warmack","GreaterEuropean","British","\N","F"
"Adviye Ayça Ünlüer","GreaterAfrican","Muslim","\N","F"
"Ady Ecker","GreaterEuropean","WestEuropean","Germanic","F"
"Ady Wheetman","GreaterEuropean","British","\N","F"
"Aejin Song","Asian","GreaterEastAsian","EastAsian","F"
"Afarin Pirzadeh","GreaterAfrican","Muslim","\N","F"
"Afnan A. Al-Subaihin","GreaterAfrican","Muslim","\N","F"
"Afnan Fahim","GreaterAfrican","Muslim","\N","F"
"Afra Alishahi","GreaterAfrican","Muslim","\N","F"
"Afra J. Mashhadi","GreaterEuropean","Jewish","\N","F"
"Afra Zomorodian","GreaterAfrican","Africans","\N","F"
"Afraz Jaffri","GreaterAfrican","Muslim","\N","F"
"Afroza Sultana","Asian","IndianSubContinent","\N","F"
"Afsaneh Doryab","GreaterAfrican","Muslim","\N","F"
"Afsaneh Fazly","GreaterAfrican","Muslim","\N","F"
"Afsaneh Shirazi","GreaterAfrican","Muslim","\N","F"
"Aga Matysiak","GreaterAfrican","Africans","\N","F"
"Agata Ciabattoni","GreaterEuropean","WestEuropean","Italian","F"
"Agata Filipowska","GreaterEuropean","Jewish","\N","F"
"Àgata Lapedriza","GreaterAfrican","Africans","\N","F"
"Agata Michalska","GreaterEuropean","EastEuropean","\N","F"
"Agata Mosinska-Domanska","GreaterEuropean","EastEuropean","\N","F"
"Agata Niescieruk","GreaterEuropean","WestEuropean","Germanic","F"
"Agata Rozga","GreaterEuropean","EastEuropean","\N","F"
"Aggeliki Dimitriou","GreaterEuropean","EastEuropean","\N","F"
"Aglika Gyaourova","GreaterAfrican","Muslim","\N","F"
"Agnès Arnould","GreaterEuropean","WestEuropean","French","F"
"Agnes C. Noubissi","GreaterEuropean","WestEuropean","French","F"
"Agnes Chang","Asian","GreaterEastAsian","EastAsian","F"
"Ágnes Cseh","GreaterAfrican","Africans","\N","F"
"Agnes Deneka","Asian","GreaterEastAsian","Japanese","F"
"Agnès Front","GreaterEuropean","British","\N","F"
"Agnes Gimeno","GreaterEuropean","WestEuropean","Italian","F"
"Agnes Hui Chan","Asian","GreaterEastAsian","EastAsian","F"
"Ágnes Kiss","GreaterEuropean","British","\N","F"
"Agnes Koschmider","GreaterEuropean","Jewish","\N","F"
"Agnes Kotucz","GreaterEuropean","EastEuropean","\N","F"
"Agnes Lisowska","GreaterEuropean","EastEuropean","\N","F"
"Agnes Lisowska Masson","GreaterEuropean","WestEuropean","French","F"
"Agnès Rico","GreaterEuropean","WestEuropean","Hispanic","F"
"Ágnes Sándor","GreaterEuropean","British","\N","F"
"Agnes Swadzba","GreaterAfrican","Africans","\N","F"
"Ágnes Szántó","GreaterEuropean","Jewish","\N","F"
"Agnès Voisard","GreaterEuropean","WestEuropean","French","F"
"Agnese Caglio","GreaterEuropean","WestEuropean","Italian","F"
"Agneta Nilsson","GreaterEuropean","WestEuropean","Hispanic","F"
"Agnieszka Falenska","GreaterEuropean","Jewish","\N","F"
"Agnieszka Kulacka","Asian","IndianSubContinent","\N","F"
"Agnieszka Lawrynowicz","GreaterEuropean","British","\N","F"
"Agnieszka Matysiak Szóstek","GreaterEuropean","Jewish","\N","F"
"Agnieszka Patejuk","Asian","IndianSubContinent","\N","F"
"Agnieszka Rutkowska","GreaterEuropean","EastEuropean","\N","F"
"Agnieszka Szóstek","GreaterEuropean","Jewish","\N","F"
"Ahlame Douzal Chouakria","Asian","IndianSubContinent","\N","F"
"Ahlem Assila","GreaterAfrican","Muslim","\N","F"
"Ahlem Nabli","GreaterAfrican","Muslim","\N","F"
"Ahlem Triki","GreaterAfrican","Africans","\N","F"
"Ahreum Lee","Asian","GreaterEastAsian","EastAsian","F"
"Ahu Sieg","GreaterEuropean","Jewish","\N","F"
"Ahuva Mu'alem","GreaterAfrican","Africans","\N","F"
"Ahyoung Sung","Asian","GreaterEastAsian","EastAsian","F"
"Ai Chen","Asian","GreaterEastAsian","EastAsian","F"
"Ai Huang","Asian","GreaterEastAsian","EastAsian","F"
"Ai Nakane","Asian","GreaterEastAsian","Japanese","F"
"Ai Ti Aw","GreaterAfrican","Africans","\N","F"
"Ai Xia","Asian","GreaterEastAsian","EastAsian","F"
"Aïcha Mokhtari","GreaterAfrican","Muslim","\N","F"
"Aida Erfanian","GreaterAfrican","Muslim","\N","F"
"Aida Gainutdinova","Asian","IndianSubContinent","\N","F"
"Aída Gándara","Asian","IndianSubContinent","\N","F"
"Aïda Ouangraoua","Asian","GreaterEastAsian","EastAsian","F"
"Aida Suraya","Asian","GreaterEastAsian","Japanese","F"
"Aideen J. Stronge","GreaterEuropean","British","\N","F"
"Aifang Xu","Asian","GreaterEastAsian","EastAsian","F"
"Aigerim Issabayeva","GreaterAfrican","Muslim","\N","F"
"Aihua Xu","Asian","GreaterEastAsian","EastAsian","F"
"Aihua Zheng","Asian","GreaterEastAsian","EastAsian","F"
"Aikaterini A. Sotiraki","Asian","GreaterEastAsian","Japanese","F"
"Aikaterini Mitrokotsa","Asian","IndianSubContinent","\N","F"
"Aikaterini Tzompanaki","Asian","GreaterEastAsian","Japanese","F"
"Aikaterini Varsou","GreaterEuropean","EastEuropean","\N","F"
"Aiko Fallas Yamashita","Asian","GreaterEastAsian","Japanese","F"
"Aiko Pras","Asian","IndianSubContinent","\N","F"
"Aiko Yamashita","Asian","GreaterEastAsian","Japanese","F"
"Ailan Hu","Asian","GreaterEastAsian","EastAsian","F"
"Aileen McCollum","GreaterEuropean","WestEuropean","Italian","F"
"Aileen Pohl","GreaterEuropean","WestEuropean","Germanic","F"
"Aili Wang","Asian","GreaterEastAsian","EastAsian","F"
"Ailing Ni","Asian","GreaterEastAsian","EastAsian","F"
"Aiman Erbad","GreaterAfrican","Muslim","\N","F"
"Aime Zuniga","Asian","GreaterEastAsian","Japanese","F"
"Aimee K. Zaas","GreaterAfrican","Africans","\N","F"
"Aimee Rickman","GreaterEuropean","British","\N","F"
"Aimee van Wynsberghe","GreaterEuropean","British","\N","F"
"Ainhoa Aparicio-Monforte","GreaterEuropean","WestEuropean","Italian","F"
"Aini Li","Asian","GreaterEastAsian","EastAsian","F"
"Aining Yin","Asian","GreaterEastAsian","EastAsian","F"
"Aino Ahtinen","GreaterAfrican","Muslim","\N","F"
"Ainur Yessenalina","GreaterEuropean","WestEuropean","Hispanic","F"
"Aiping Li","Asian","GreaterEastAsian","EastAsian","F"
"Airi Lampinen","GreaterEuropean","WestEuropean","French","F"
"Aish Fenton","GreaterEuropean","British","\N","F"
"Aisha Hasan","Asian","IndianSubContinent","\N","F"
"Aisha Lahdan Al-Kuwari","GreaterAfrican","Muslim","\N","F"
"Aisha Mushtaq","GreaterAfrican","Muslim","\N","F"
"Aisha Syed","Asian","IndianSubContinent","\N","F"
"Aisha Walcott-Bryant","GreaterEuropean","British","\N","F"
"Aishat Animashaun","GreaterAfrican","Africans","\N","F"
"Aishwarya Agrawal","Asian","IndianSubContinent","\N","F"
"Aishwarya Ganesan","Asian","IndianSubContinent","\N","F"
"Aishwarya Thiruvengadam","Asian","IndianSubContinent","\N","F"
"Aisling Ann O'Kane","GreaterEuropean","British","\N","F"
"Aisling Kelliher","GreaterEuropean","British","\N","F"
"Aiste Pilvinyte","GreaterEuropean","WestEuropean","French","F"
"Aiswariya G. Kannan","Asian","IndianSubContinent","\N","F"
"Aiswarya Cyriac","GreaterEuropean","WestEuropean","Italian","F"
"Aiwu Shi","Asian","GreaterEastAsian","EastAsian","F"
"Aixin Sun","Asian","GreaterEastAsian","EastAsian","F"
"Ajanta Sen","Asian","IndianSubContinent","\N","F"
"Ajda Gokcen","GreaterEuropean","EastEuropean","\N","F"
"Ajita John","Asian","IndianSubContinent","\N","F"
"Ajita Rattani","Asian","IndianSubContinent","\N","F"
"Ajitha Rajan","Asian","IndianSubContinent","\N","F"
"Akane Sano","Asian","GreaterEastAsian","Japanese","F"
"Akane Yakushiji","Asian","GreaterEastAsian","Japanese","F"
"Akanksha Agrawal","Asian","IndianSubContinent","\N","F"
"Akanksha Baid","Asian","IndianSubContinent","\N","F"
"Akanksha Shrivastava","Asian","IndianSubContinent","\N","F"
"Akari Ikenoue","Asian","GreaterEastAsian","Japanese","F"
"Akhila Rao","Asian","IndianSubContinent","\N","F"
"Akiko Eriguchi","Asian","GreaterEastAsian","Japanese","F"
"Akiko Murakami","Asian","GreaterEastAsian","Japanese","F"
"Akiko N. Aizawa","Asian","GreaterEastAsian","Japanese","F"
"Akiko Suzuki","Asian","GreaterEastAsian","Japanese","F"
"Akiko Takeda","Asian","GreaterEastAsian","Japanese","F"
"Akiko Yamazaki","Asian","GreaterEastAsian","Japanese","F"
"Akiko Yoshida","Asian","GreaterEastAsian","Japanese","F"
"Akinobu Eguchi","Asian","GreaterEastAsian","Japanese","F"
"Akinobu Lee","Asian","GreaterEastAsian","EastAsian","F"
"Akinobu Maejima","Asian","GreaterEastAsian","Japanese","F"
"Akinobu Miyata","Asian","GreaterEastAsian","Japanese","F"
"Akiya Kamimura","Asian","GreaterEastAsian","Japanese","F"
"Akiyo Kano","Asian","GreaterEastAsian","Japanese","F"
"Akiyo Nadamoto","Asian","GreaterEastAsian","Japanese","F"
"Akka Zemmari","GreaterAfrican","Muslim","\N","F"
"Akon Dey","Asian","IndianSubContinent","\N","F"
"Akrivi Katifori","GreaterAfrican","Muslim","\N","F"
"Akrivi Vlachou","GreaterEuropean","EastEuropean","\N","F"
"Akshaya Arora","Asian","IndianSubContinent","\N","F"
"Akshaya Kumar Mishra","Asian","IndianSubContinent","\N","F"
"Akshaya Puranik","Asian","IndianSubContinent","\N","F"
"Akshaya Thippur","Asian","IndianSubContinent","\N","F"
"Akshita","GreaterAfrican","Muslim","\N","F"
"Ala Djeddai","GreaterAfrican","Muslim","\N","F"
"Alakananda Vempala","GreaterAfrican","Africans","\N","F"
"Alannah Oleson","GreaterEuropean","British","\N","F"
"Alba Cristina Magalhaes Alves de Melo","GreaterEuropean","WestEuropean","French","F"
"Alcione de Paiva Oliveira","GreaterEuropean","WestEuropean","Hispanic","F"
"Aleecia M. McDonald","GreaterEuropean","British","\N","F"
"Alefiya Hussain","GreaterAfrican","Muslim","\N","F"
"Alefiya Lightwala","GreaterAfrican","Africans","\N","F"
"Alegria Baquero","GreaterEuropean","WestEuropean","Hispanic","F"
"Alejandra Caro","GreaterEuropean","WestEuropean","Hispanic","F"
"Alejandra Garrido","GreaterEuropean","WestEuropean","Hispanic","F"
"Alejandra González Beltrán","GreaterEuropean","EastEuropean","\N","F"
"Alejandra Lorena Paoletti","GreaterEuropean","WestEuropean","Italian","F"
"Aleksandra Boniewicz","GreaterEuropean","EastEuropean","\N","F"
"Aleksandra Korolova","GreaterEuropean","EastEuropean","\N","F"
"Aleksandra Kovacevic","GreaterEuropean","EastEuropean","\N","F"
"Aleksandra Kuczerawy","GreaterEuropean","Jewish","\N","F"
"Aleksandra Lomakina","Asian","GreaterEastAsian","Japanese","F"
"Aleksandra Mojsilovic","GreaterEuropean","EastEuropean","\N","F"
"Aleksandra Nenadic","GreaterEuropean","EastEuropean","\N","F"
"Aleksandra Pawlik","GreaterEuropean","British","\N","F"
"Aleksandra Sarcevic","GreaterEuropean","EastEuropean","\N","F"
"Aleksandra Slavkovic","GreaterEuropean","EastEuropean","\N","F"
"Alena Denisova","GreaterEuropean","EastEuropean","\N","F"
"Alena Neviarouskaya","GreaterEuropean","EastEuropean","\N","F"
"Alessandra Bagnato","GreaterEuropean","WestEuropean","Italian","F"
"Alessandra Bernardi","GreaterEuropean","WestEuropean","Italian","F"
"Alessandra Cherubini","GreaterEuropean","WestEuropean","Italian","F"
"Alessandra Di Pierro","GreaterEuropean","WestEuropean","Italian","F"
"Alessandra Fascioli","GreaterEuropean","WestEuropean","Italian","F"
"Alessandra Gorla","GreaterEuropean","WestEuropean","Italian","F"
"Alessandra Melonio","GreaterEuropean","WestEuropean","Italian","F"
"Alessandra Mileo","GreaterEuropean","WestEuropean","Italian","F"
"Alessandra Potrich","GreaterEuropean","WestEuropean","Italian","F"
"Alessandra Puddu","GreaterEuropean","WestEuropean","Italian","F"
"Alessandra Raffaetà","GreaterEuropean","WestEuropean","Italian","F"
"Alessandra Russo","GreaterEuropean","WestEuropean","Italian","F"
"Alessandra Sabatino","GreaterEuropean","WestEuropean","Italian","F"
"Alessandra Sala","GreaterEuropean","WestEuropean","Italian","F"
"Alessandra Savelli","GreaterEuropean","WestEuropean","Italian","F"
"Alessandra Scafuro","GreaterEuropean","WestEuropean","Italian","F"
"Alessandra Talamo","Asian","IndianSubContinent","\N","F"
"Alessia Bardi","GreaterEuropean","WestEuropean","Italian","F"
"Alessia Knauss","GreaterEuropean","WestEuropean","Germanic","F"
"Alessia Milani","GreaterEuropean","WestEuropean","Italian","F"
"Alethia Hume","GreaterEuropean","British","\N","F"
"Aletta Nylén","GreaterEuropean","Jewish","\N","F"
"Alexa Breuing","GreaterEuropean","WestEuropean","French","F"
"Alexa Sharp","GreaterEuropean","British","\N","F"
"Alexandra B. Proaps","GreaterEuropean","British","\N","F"
"Alexandra Balahur","GreaterAfrican","Africans","\N","F"
"Alexandra Birch","GreaterEuropean","British","\N","F"
"Alexandra Boldyreva","GreaterEuropean","EastEuropean","\N","F"
"Alexandra Boughton","GreaterEuropean","British","\N","F"
"Alexandra Branzan Albu","GreaterEuropean","Jewish","\N","F"
"Alexandra Brusilovsky","GreaterEuropean","EastEuropean","\N","F"
"Alexandra Carpen-Amarie","GreaterEuropean","British","\N","F"
"Alexandra Carpentier","GreaterEuropean","WestEuropean","French","F"
"Alexandra Coman","GreaterEuropean","EastEuropean","\N","F"
"Alexandra Constantin","GreaterEuropean","WestEuropean","Hispanic","F"
"Alexandra Dango","GreaterEuropean","EastEuropean","\N","F"
"Alexandra Dmitrienko","GreaterEuropean","EastEuropean","\N","F"
"Alexandra Eveleigh","GreaterEuropean","British","\N","F"
"Alexandra Fedorova","GreaterEuropean","EastEuropean","\N","F"
"Alexandra Fronville","GreaterEuropean","British","\N","F"
"Alexandra Galatescu","GreaterEuropean","WestEuropean","Italian","F"
"Alexandra Gendreau","GreaterEuropean","WestEuropean","French","F"
"Alexandra Gilinsky","GreaterEuropean","EastEuropean","\N","F"
"Alexandra Goultiaeva","GreaterEuropean","EastEuropean","\N","F"
"Alexandra Holloway","GreaterEuropean","British","\N","F"
"Alexandra I. Cristea","GreaterEuropean","WestEuropean","French","F"
"Alexandra Ion","GreaterEuropean","EastEuropean","\N","F"
"Alexandra J. Golby","GreaterEuropean","Jewish","\N","F"
"Alexandra Kinyon","Asian","GreaterEastAsian","EastAsian","F"
"Alexandra Kolla","GreaterEuropean","EastEuropean","\N","F"
"Alexandra L. Bartell","GreaterEuropean","British","\N","F"
"Alexandra L. Uitdenbogerd","GreaterEuropean","British","\N","F"
"Alexandra Lee","GreaterEuropean","British","\N","F"
"Alexandra Luccioni","GreaterEuropean","WestEuropean","Italian","F"
"Alexandra M. Carvalho","GreaterEuropean","WestEuropean","Hispanic","F"
"Alexandra M. Coddington","GreaterEuropean","British","\N","F"
"Alexandra Mack","GreaterEuropean","British","\N","F"
"Alexandra Meliou","GreaterEuropean","EastEuropean","\N","F"
"Alexandra Morgan","GreaterEuropean","British","\N","F"
"Alexandra Olteanu","GreaterEuropean","WestEuropean","Hispanic","F"
"Alexandra Papoutsaki","Asian","GreaterEastAsian","Japanese","F"
"Alexandra Pilalidou","GreaterEuropean","WestEuropean","Hispanic","F"
"Alexandra Potapova","GreaterEuropean","EastEuropean","\N","F"
"Alexandra Poulovassilis","GreaterEuropean","EastEuropean","\N","F"
"Alexandra Psarrou","GreaterEuropean","EastEuropean","\N","F"
"Alexandra Radu","GreaterAfrican","Muslim","\N","F"
"Alexandra Ramírez Ortiz","GreaterEuropean","WestEuropean","Hispanic","F"
"Alexandra Rivero-García","GreaterEuropean","WestEuropean","Hispanic","F"
"Alexandra Roatis","GreaterEuropean","British","\N","F"
"Alexandra Roshchina","Asian","GreaterEastAsian","Japanese","F"
"Alexandra Savelieva","GreaterEuropean","EastEuropean","\N","F"
"Alexandra Shulman-Peleg","GreaterEuropean","British","\N","F"
"Alexandra Silva 0001","GreaterEuropean","WestEuropean","Hispanic","F"
"Alexandra Silva 0002","GreaterEuropean","WestEuropean","Hispanic","F"
"Alexandra Stefan","GreaterEuropean","WestEuropean","French","F"
"Alexandra Swanson","GreaterEuropean","British","\N","F"
"Alexandra Szynkarski","GreaterEuropean","EastEuropean","\N","F"
"Alexandra To","Asian","GreaterEastAsian","EastAsian","F"
"Alexandra Varga","GreaterEuropean","EastEuropean","\N","F"
"Alexandra Weilenmann","GreaterEuropean","Jewish","\N","F"
"Alexandra Young","Asian","GreaterEastAsian","EastAsian","F"
"Alexandrin Popescul","GreaterEuropean","EastEuropean","\N","F"
"Alexia Briassouli","GreaterEuropean","WestEuropean","French","F"
"Alexia Nielsen","GreaterEuropean","WestEuropean","Nordic","F"
"Alexy Khrabrov","GreaterEuropean","EastEuropean","\N","F"
"Alexy Kurganskyy","GreaterEuropean","EastEuropean","\N","F"
"Alexy Olkov","GreaterEuropean","EastEuropean","\N","F"
"Alia AlBalawi","GreaterAfrican","Muslim","\N","F"
"Alia Amin","GreaterAfrican","Muslim","\N","F"
"Alia I. Abdelmoty","GreaterAfrican","Muslim","\N","F"
"Alia Sheikh","GreaterAfrican","Muslim","\N","F"
"Alice Albano","GreaterEuropean","WestEuropean","Italian","F"
"Alice Angus","GreaterEuropean","WestEuropean","French","F"
"Alice Berard","GreaterEuropean","WestEuropean","French","F"
"Alice Chen","Asian","GreaterEastAsian","EastAsian","F"
"Alice Chien","Asian","GreaterEastAsian","EastAsian","F"
"Alice Gu","Asian","GreaterEastAsian","EastAsian","F"
"Alice H. Oh","Asian","GreaterEastAsian","Japanese","F"
"Alice Han","Asian","GreaterEastAsian","EastAsian","F"
"Alice J. O'Toole","GreaterEuropean","British","\N","F"
"Alice Leung","Asian","GreaterEastAsian","EastAsian","F"
"Alice M. Agogino","GreaterAfrican","Africans","\N","F"
"Alice M. Chung","Asian","GreaterEastAsian","EastAsian","F"
"Alice M. Gross","GreaterEuropean","Jewish","\N","F"
"Alice M. Mulvehill","GreaterEuropean","British","\N","F"
"Alice M. Wyrwicz","GreaterEuropean","Jewish","\N","F"
"Alice Marascu","GreaterEuropean","Jewish","\N","F"
"Alice Miller","GreaterEuropean","British","\N","F"
"Alice Oh","Asian","GreaterEastAsian","Japanese","F"
"Alice Paul","GreaterEuropean","WestEuropean","French","F"
"Alice Pigul","GreaterEuropean","WestEuropean","French","F"
"Alice Robie","GreaterEuropean","British","\N","F"
"Alice Shapiro","GreaterEuropean","Jewish","\N","F"
"Alice Siempelkamp","GreaterEuropean","Jewish","\N","F"
"Alice Silverberg","GreaterEuropean","Jewish","\N","F"
"Alice Thomas","GreaterEuropean","British","\N","F"
"Alice Thudt","GreaterEuropean","British","\N","F"
"Alice Toniolo","GreaterEuropean","WestEuropean","Italian","F"
"Alice Vialard","GreaterEuropean","WestEuropean","French","F"
"Alice Wang","Asian","GreaterEastAsian","EastAsian","F"
"Alice Wickersham","GreaterEuropean","British","\N","F"
"Alice X. Zheng","Asian","GreaterEastAsian","EastAsian","F"
"Alicia Ageno","GreaterEuropean","WestEuropean","Italian","F"
"Alicia Blum-Ross","GreaterEuropean","Jewish","\N","F"
"Alicia Díaz","GreaterEuropean","Jewish","\N","F"
"Alicia Dickenstein","GreaterEuropean","Jewish","\N","F"
"Alicia Fornés","GreaterEuropean","British","\N","F"
"Alicia Gibb","GreaterEuropean","British","\N","F"
"Alicia Key","GreaterEuropean","British","\N","F"
"Alicia M. Grubb","GreaterEuropean","British","\N","F"
"Alicia Martínez","GreaterEuropean","WestEuropean","Hispanic","F"
"Alicia P. Wolfe","GreaterEuropean","Jewish","\N","F"
"Alicia Tribble","GreaterEuropean","British","\N","F"
"Alícia Valls Saez","GreaterEuropean","WestEuropean","French","F"
"Alicja Ciemniewska","GreaterEuropean","EastEuropean","\N","F"
"Alicja Luszczak","GreaterEuropean","EastEuropean","\N","F"
"Alie El-Din Mady","GreaterAfrican","Muslim","\N","F"
"Alina Andreevskaia","GreaterEuropean","EastEuropean","\N","F"
"Alina Beygelzimer","GreaterEuropean","WestEuropean","Germanic","F"
"Alina Bialkowski","GreaterEuropean","EastEuropean","\N","F"
"Alina Campan","GreaterEuropean","WestEuropean","Italian","F"
"Alina Chu","Asian","GreaterEastAsian","EastAsian","F"
"Alina Coman","GreaterEuropean","WestEuropean","Hispanic","F"
"Alina Deshpande","Asian","IndianSubContinent","\N","F"
"Alina Ene","GreaterEuropean","WestEuropean","Germanic","F"
"Alina García","GreaterEuropean","WestEuropean","Hispanic","F"
"Alina Hang","Asian","GreaterEastAsian","EastAsian","F"
"Alina Huldtgren","GreaterEuropean","WestEuropean","Nordic","F"
"Alina Krischkowsky","GreaterEuropean","EastEuropean","\N","F"
"Alina Kuznetsova","GreaterEuropean","EastEuropean","\N","F"
"Alina Lazar","GreaterEuropean","Jewish","\N","F"
"Alina Maria Ciobanu","GreaterEuropean","WestEuropean","Italian","F"
"Alina Munteanu","GreaterEuropean","WestEuropean","Germanic","F"
"Alina Oprea","GreaterEuropean","EastEuropean","\N","F"
"Alina Petra Marinescu Nenciu","GreaterEuropean","WestEuropean","Italian","F"
"Alina Pommeranz","GreaterEuropean","WestEuropean","Germanic","F"
"Alina Shaikhet","GreaterAfrican","Muslim","\N","F"
"Alina Strachocka","GreaterEuropean","Jewish","\N","F"
"Alina Striner","GreaterEuropean","Jewish","\N","F"
"Alina Zolotukhina","Asian","IndianSubContinent","\N","F"
