"autor","l0","l1","l2","gender"
"Rana Molana","Asian","IndianSubContinent","\N","F"
"Rana Prasad Sahu","Asian","IndianSubContinent","\N","F"
"Rand Waltzman","GreaterEuropean","Jewish","\N","F"
"Randeep Bhatia","Asian","IndianSubContinent","\N","F"
"Randi Cabezas","GreaterEuropean","WestEuropean","Hispanic","F"
"Randi Karlsen","GreaterEuropean","WestEuropean","Nordic","F"
"Rani Hod","Asian","IndianSubContinent","\N","F"
"Rani Izsak","Asian","GreaterEastAsian","Japanese","F"
"Rani Nelken","GreaterEuropean","Jewish","\N","F"
"Rani Pinchuk","Asian","IndianSubContinent","\N","F"
"Rani Qumsiyeh","GreaterAfrican","Muslim","\N","F"
"Rania Ibrahim","GreaterAfrican","Muslim","\N","F"
"Rania Khalaf","GreaterAfrican","Muslim","\N","F"
"Rania Soussi","GreaterAfrican","Africans","\N","F"
"Rania Yangui","Asian","GreaterEastAsian","EastAsian","F"
"Ranjita Bhagwan","Asian","IndianSubContinent","\N","F"
"Ranjitha Gurunath Kulkarni","Asian","IndianSubContinent","\N","F"
"Ranjitha Kumar","Asian","IndianSubContinent","\N","F"
"Ranya Almohsen","GreaterEuropean","WestEuropean","Nordic","F"
"Raoudha Ben Djemaa","GreaterAfrican","Africans","\N","F"
"Rapeeporn Pimup","Asian","IndianSubContinent","\N","F"
"Raphaela Palenta","GreaterEuropean","Jewish","\N","F"
"Raphaëlle Crubillé","GreaterEuropean","British","\N","F"
"Raquel A. F. Mini","GreaterEuropean","British","\N","F"
"Raquel Almeida","GreaterEuropean","WestEuropean","Hispanic","F"
"Raquel Benbunan-Fich","GreaterEuropean","Jewish","\N","F"
"Raquel Blanco","GreaterEuropean","WestEuropean","Hispanic","F"
"Raquel Cardoso de Melo Minardi","GreaterEuropean","WestEuropean","Hispanic","F"
"Raquel E. Gur","GreaterEuropean","Jewish","\N","F"
"Raquel Fernández","GreaterEuropean","WestEuropean","Hispanic","F"
"Raquel Fialho Lafetá","GreaterEuropean","WestEuropean","Hispanic","F"
"Raquel Fuentetaja","Asian","IndianSubContinent","\N","F"
"Raquel Hervás","GreaterEuropean","Jewish","\N","F"
"Raquel Mainardi Pillat","GreaterEuropean","WestEuropean","French","F"
"Raquel Martínez-Unanue","GreaterEuropean","WestEuropean","Hispanic","F"
"Raquel Navarro-Prieto","GreaterEuropean","WestEuropean","Hispanic","F"
"Raquel O. Prates","GreaterEuropean","WestEuropean","Hispanic","F"
"Raquel Oliveira Prates","GreaterEuropean","WestEuropean","Hispanic","F"
"Raquel Pau","GreaterEuropean","WestEuropean","French","F"
"Raquel Ros","GreaterEuropean","British","\N","F"
"Raquel Róses Brüngger","GreaterEuropean","Jewish","\N","F"
"Raquel Sebastião","GreaterEuropean","Jewish","\N","F"
"Raquel Trillo Lado","GreaterEuropean","WestEuropean","French","F"
"Raquel Urtasun","Asian","GreaterEastAsian","Japanese","F"
"Raqueline R. M. Penteado","GreaterEuropean","Jewish","\N","F"
"Rasa Bliujute","Asian","GreaterEastAsian","EastAsian","F"
"Rasha Tawhid","GreaterAfrican","Muslim","\N","F"
"Rashi Garg","Asian","IndianSubContinent","\N","F"
"Rashina Hoda","Asian","GreaterEastAsian","Japanese","F"
"Rashmi Aroskar","Asian","IndianSubContinent","\N","F"
"Rashmi Dalvi","Asian","IndianSubContinent","\N","F"
"Rashmi Gangadharaiah","Asian","IndianSubContinent","\N","F"
"Rashmi Mudduluru","GreaterAfrican","Africans","\N","F"
"Rashmi Nandikur","Asian","IndianSubContinent","\N","F"
"Rashmi Prasad","Asian","IndianSubContinent","\N","F"
